name,genre,studio,country,duration,age_limit,release,rental_duration,rating
"Elliot the Littlest Reindeer","Family","Bron Studios","Canada",89,0,2018,20,5.1
"Le grand bain","Comedy","Studio Canal","France",122,16,2018,13,7.0
"The Glass","Thriller","Universal Pictures","USA",129,16,2019,42,6.6
"The Lego Movie 2 The Second Part","Animation","Warner Brothers Pictures","USA",108,0,2019,27,6.6
"The Kid Who Would Be King","Adventure","20th Century Fox","United Kingdom",120,0,2018,13,6.0
"The Curse of La Llorona","Horrors","Warner Brothers Pictures","USA",94,16,2018,20,5.3
"It Chapter two","Horrors","Warner Brothers Pictures","USA",169,18,2019,34,6.5
"Wonder Woman 1984","Fantasy","Warner Brothers Pictures","USA",151,12,2020,30,5.4
"Mary Queen of Scots","Drama","Universal Pictures","United Kingdom",125,16,2018,27,6.3
"Tea Pets","Cartoon","Lion's Gate Films","China",98,0,2018,20,5.7
"Fleuve noir","Thriller","Arte France Cinéma","France",113,16,2018,27,6.3
"Suspiria","Thriller","Lion's Gate Films","Italy",152,18,2018,20,6.8
"Core of the World","Drama","Kadokawa Pictures","Russia",120,18,2018,20,6.2
"Hell Fest","Thriller","Lion's Gate Films","USA",89,16,2018,13,5.5
"The Guernsey Literary and Potato Peel Pie Society","Drama","Studio Canal","United Kingdom",129,12,2018,27,7.4
"Ribbit","Cartoon","Sony Pictures Entertainment","Malaysia",88,0,2018,6,4.1
"Peter Pan The Quest for The never Book","Animation","First Lady Film","India",90,0,2018,20,4.4
"Unga Astrid","Melodrama","Roy Andersson Filmproduktion AB","Sweden",123,12,2018,6,7.1
"Pokémon Detective Pikachu","Adventure","Warner Brothers Pictures","Japan",104,0,2019,41,6.6
"GODZILLA VS KONG","Fantasy","Warner Brothers Pictures","USA",113,16,2021,63,6.4
"Serenity","Thriller","Global Road Entertainment","USA",100,16,2018,27,5.4
"Time Freak","Drama","Lion's Gate Films","USA",100,12,2018,6,5.8
"Look away","Thriller","Vertical Entertainment","USA",103,16,2018,13,5.8
"Assassination Nation","Thriller","Bron Studios","USA",108,18,2018,13,6.0
"Still/Born","Horrors","Bron Studios","Canada",87,16,2018,6,5.4
